Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,226.500000,226.500000,219.000000,219.500000,201.865463,32900482
2019-01-03,214.000000,218.000000,214.000000,215.500000,198.186829,34087620
2019-01-04,211.500000,211.500000,206.500000,208.000000,191.289368,65943521
2019-01-07,212.000000,214.000000,211.000000,213.000000,195.887680,35442176
2019-01-08,212.000000,212.500000,210.000000,211.000000,194.048370,22694481
2019-01-09,212.000000,216.500000,211.000000,215.500000,198.186829,46295446
2019-01-10,216.000000,216.500000,214.500000,216.000000,198.646652,20754593
2019-01-11,219.000000,220.500000,218.000000,220.500000,202.785141,28102288
2019-01-14,218.500000,220.000000,217.000000,218.500000,200.945801,17612296
2019-01-15,216.500000,221.000000,215.500000,221.000000,203.244949,38882923
2019-01-16,218.500000,220.000000,217.500000,217.500000,200.026154,28978282
2019-01-17,218.000000,221.000000,218.000000,220.500000,202.785141,21163986
2019-01-18,219.000000,220.000000,217.500000,218.500000,200.945801,49627569
2019-01-21,220.000000,223.000000,220.000000,221.000000,203.244949,29384866
2019-01-22,220.000000,223.000000,219.000000,223.000000,205.084305,28926483
2019-01-23,221.500000,222.000000,220.000000,220.500000,202.785141,16671213
2019-01-24,222.500000,222.500000,220.500000,222.500000,204.624435,26417924
2019-01-25,226.500000,227.000000,225.000000,226.000000,207.843262,46692764
2019-01-28,229.500000,229.500000,228.000000,229.000000,210.602234,26026257
2019-01-29,222.500000,225.000000,222.000000,222.500000,204.624435,41122520
2019-01-30,220.500000,221.500000,220.000000,221.000000,203.244949,44755945
2019-02-11,228.000000,229.000000,226.500000,228.000000,209.682602,78307106
2019-02-12,230.000000,230.000000,229.000000,230.000000,211.521896,29406670
2019-02-13,232.000000,232.000000,228.500000,229.000000,210.602234,28634925
2019-02-14,229.500000,230.000000,226.000000,227.000000,208.762939,23647751
2019-02-15,229.000000,229.000000,226.500000,227.000000,208.762939,22369799
2019-02-18,229.000000,230.500000,228.500000,230.000000,211.521896,16978916
2019-02-19,230.000000,230.500000,229.000000,229.000000,210.602234,16577023
2019-02-20,231.500000,234.500000,231.000000,234.500000,215.660370,30479710
2019-02-21,235.500000,236.500000,234.500000,236.500000,217.499710,33764489
2019-02-22,235.500000,236.500000,234.000000,236.500000,217.499710,22032163
2019-02-25,237.500000,239.000000,236.000000,238.000000,218.879211,24105138
2019-02-26,239.000000,240.000000,236.500000,239.500000,220.258682,24522789
2019-02-27,238.500000,239.500000,237.000000,239.000000,219.798874,35240889
2019-03-04,239.500000,239.500000,234.500000,235.500000,216.580032,39655513
2019-03-05,234.000000,234.500000,232.500000,233.000000,214.280899,22641407
2019-03-06,235.000000,235.500000,233.500000,234.000000,215.200546,20433226
2019-03-07,235.000000,235.000000,233.000000,234.000000,215.200546,17126192
2019-03-08,231.000000,231.500000,229.000000,230.000000,211.521896,22190659
2019-03-11,228.000000,230.500000,227.500000,230.500000,211.981735,23200793
2019-03-12,233.000000,237.000000,232.500000,235.500000,216.580032,23588085
2019-03-13,234.000000,237.000000,234.000000,237.000000,217.959534,20500195
2019-03-14,239.000000,239.000000,234.000000,234.500000,215.660370,17175356
2019-03-15,237.000000,239.500000,235.500000,239.000000,219.798874,33649729
2019-03-18,239.500000,241.000000,239.000000,241.000000,221.638168,26856532
2019-03-19,239.000000,240.500000,238.000000,240.500000,221.178314,14479009
2019-03-20,242.000000,242.000000,239.500000,242.000000,222.557816,22975971
2019-03-21,242.500000,245.500000,241.000000,245.500000,225.776642,26179502
2019-03-22,248.000000,248.500000,244.500000,248.500000,228.535645,22931467
2019-03-25,240.500000,243.500000,240.500000,241.500000,222.097977,19211254
2019-03-26,243.000000,244.000000,241.000000,244.000000,224.397156,19920170
2019-03-27,242.000000,242.500000,240.500000,241.500000,222.097977,22590089
2019-03-28,240.500000,242.500000,240.000000,242.000000,222.557816,13933054
2019-03-29,243.000000,245.500000,240.500000,245.500000,225.776642,28220810
2019-04-01,251.000000,251.000000,245.000000,245.500000,225.776642,35330656
2019-04-02,249.500000,249.500000,246.000000,246.000000,226.236465,24105053
2019-04-03,249.000000,249.000000,246.500000,246.500000,226.696289,24945323
2019-04-08,251.000000,253.000000,250.500000,253.000000,232.674072,45184821
2019-04-09,253.000000,254.000000,252.000000,254.000000,233.593750,22355674
2019-04-10,253.000000,254.500000,252.000000,254.000000,233.593750,25849934
2019-04-11,253.000000,254.000000,251.500000,252.000000,231.754410,24896840
2019-04-12,251.500000,253.000000,251.000000,252.000000,231.754410,13548148
2019-04-15,255.000000,256.000000,254.000000,255.500000,234.973251,17192002
2019-04-16,257.000000,257.000000,255.500000,257.000000,236.352737,19652648
2019-04-17,260.000000,263.000000,259.500000,261.500000,240.491211,37864191
2019-04-18,264.000000,266.000000,263.500000,264.500000,243.250198,38006795
2019-04-19,269.000000,269.500000,263.500000,264.500000,243.250198,44658699
2019-04-22,266.500000,267.500000,265.000000,266.000000,244.629700,24967393
2019-04-23,266.500000,268.000000,266.000000,268.000000,246.469025,25336847
2019-04-24,270.000000,270.000000,267.500000,269.000000,247.388687,26449755
2019-04-25,268.500000,269.000000,267.000000,267.500000,246.009216,32386724
2019-04-26,262.000000,263.000000,257.500000,260.000000,239.111725,47518804
2019-04-29,260.000000,262.000000,258.500000,259.500000,238.651886,31126618
2019-04-30,260.000000,260.500000,258.000000,259.000000,238.192078,33799419
2019-05-02,261.500000,262.500000,258.500000,259.000000,238.192078,27091394
2019-05-03,262.000000,265.000000,260.500000,265.000000,243.710037,29840246
2019-05-06,260.000000,260.000000,258.000000,259.000000,238.192078,32823187
2019-05-07,259.500000,263.000000,259.000000,262.500000,241.410873,25686126
2019-05-08,260.000000,261.500000,259.500000,260.000000,239.111725,25542364
2019-05-09,259.500000,259.500000,256.000000,256.500000,235.892899,33587574
2019-05-10,257.000000,259.000000,255.000000,256.000000,235.433075,18617212
2019-05-13,253.000000,254.000000,249.500000,250.500000,230.374954,28284535
2019-05-14,247.500000,251.000000,245.000000,248.500000,228.535645,45055708
2019-05-15,251.000000,252.000000,249.000000,249.000000,228.995453,36825479
2019-05-16,248.500000,249.500000,246.000000,247.000000,227.156143,29713519
2019-05-17,249.000000,249.000000,241.500000,241.500000,222.097977,38647856
2019-05-20,242.500000,243.000000,238.000000,238.000000,218.879211,39157661
2019-05-21,233.500000,236.000000,232.500000,234.000000,215.200546,80042775
2019-05-22,236.500000,240.500000,235.500000,238.000000,218.879211,34622034
2019-05-23,233.500000,233.500000,230.000000,230.000000,211.521896,58752627
2019-05-24,230.000000,234.000000,230.000000,233.000000,214.280899,36000789
2019-05-27,234.000000,235.000000,231.000000,231.000000,212.441574,35562033
2019-05-28,232.000000,232.000000,230.500000,230.500000,211.981735,95240033
2019-05-29,228.000000,230.500000,227.000000,229.500000,211.062088,26533236
2019-05-30,230.000000,231.500000,229.000000,231.000000,212.441574,28500328
2019-05-31,232.000000,237.500000,231.000000,235.500000,216.580032,46070338
2019-06-03,235.500000,238.500000,232.000000,238.000000,218.879211,31054092
2019-06-04,237.500000,238.000000,233.000000,233.000000,214.280899,24443428
2019-06-05,238.000000,238.000000,234.000000,235.000000,216.120209,29139584
2019-06-06,231.500000,232.000000,229.500000,232.000000,213.361221,34651731
2019-06-10,237.500000,240.000000,234.500000,240.000000,220.718521,35373888
2019-06-11,240.000000,246.000000,239.000000,244.500000,224.856979,31965670
2019-06-12,244.500000,247.500000,243.000000,246.000000,226.236465,29675556
2019-06-13,242.500000,244.000000,240.000000,240.000000,220.718521,32981724
2019-06-14,238.500000,239.500000,236.000000,236.000000,217.039856,31951556
2019-06-17,231.500000,235.000000,230.500000,233.000000,214.280899,51017012
2019-06-18,234.000000,235.500000,233.000000,235.500000,216.580032,28578087
2019-06-19,242.500000,244.000000,240.500000,244.000000,224.397156,50164372
2019-06-20,242.000000,245.500000,241.000000,245.000000,225.316803,37836291
2019-06-21,248.000000,248.500000,246.000000,248.500000,228.535645,61164304
2019-06-24,241.000000,242.000000,240.000000,241.000000,229.010788,43300507
2019-06-25,241.000000,241.500000,237.000000,238.500000,226.635132,28559283
2019-06-26,235.000000,236.500000,234.000000,234.500000,222.834122,27607041
2019-06-27,236.000000,241.500000,236.000000,240.500000,228.535645,42007834
2019-06-28,241.500000,241.500000,238.000000,239.000000,227.110260,25962203
2019-07-01,245.500000,250.000000,245.000000,248.500000,236.137680,66307875
2019-07-02,249.500000,250.000000,247.500000,249.000000,236.612778,24181202
2019-07-03,244.000000,245.000000,242.000000,242.500000,230.436127,29449774
2019-07-04,244.500000,245.000000,242.500000,244.000000,231.861511,17481240
2019-07-05,244.500000,245.000000,241.500000,243.000000,230.911270,22867074
2019-07-08,240.000000,244.500000,240.000000,242.500000,230.436127,27787909
2019-07-09,241.500000,243.000000,240.500000,242.000000,229.961014,16418987
2019-07-10,243.000000,247.000000,243.000000,247.000000,234.712250,23812131
2019-07-11,250.000000,250.000000,247.500000,250.000000,237.563019,31160289
2019-07-12,252.000000,252.000000,249.500000,250.500000,238.038147,23479432
2019-07-15,251.000000,254.500000,249.500000,254.500000,241.839157,29727300
2019-07-16,254.000000,256.500000,253.500000,256.000000,243.264542,21361249
2019-07-17,254.000000,254.000000,251.000000,252.000000,239.463531,25573648
2019-07-18,252.000000,254.500000,251.500000,254.000000,241.364044,20842575
2019-07-19,259.500000,261.000000,259.000000,259.000000,246.115295,59709798
2019-07-22,263.000000,264.000000,262.000000,264.000000,250.866547,31522639
2019-07-23,265.500000,266.500000,262.500000,264.000000,250.866547,29273223
2019-07-24,266.500000,266.500000,263.000000,265.000000,251.816803,23734039
2019-07-25,264.000000,265.000000,261.500000,265.000000,251.816803,30433545
2019-07-26,261.000000,262.500000,261.000000,261.000000,248.015793,20438071
2019-07-29,260.000000,262.000000,259.500000,261.000000,248.015793,17509320
2019-07-30,262.500000,263.000000,260.000000,260.000000,247.065552,22670612
2019-07-31,260.000000,260.000000,257.000000,259.500000,246.590424,31635601
2019-08-01,257.500000,257.500000,255.500000,256.500000,243.739655,30017526
2019-08-02,252.000000,253.500000,250.500000,251.500000,238.988403,54021644
2019-08-05,251.000000,252.000000,245.500000,246.500000,234.237152,51535721
2019-08-06,240.000000,250.000000,240.000000,248.500000,236.137680,58625879
2019-08-07,250.000000,250.500000,246.500000,248.000000,235.662537,29435460
2019-08-08,248.000000,254.000000,248.000000,253.500000,240.888901,29725266
2019-08-12,254.500000,254.500000,251.000000,251.000000,238.513290,21794603
2019-08-13,249.000000,249.500000,246.500000,246.500000,234.237152,23121107
2019-08-14,252.500000,254.000000,249.500000,249.500000,237.087906,35216703
2019-08-15,247.000000,248.500000,246.000000,248.000000,235.662537,27624412
2019-08-16,249.500000,252.000000,248.000000,250.000000,237.563019,25370715
2019-08-19,251.500000,253.000000,250.500000,252.000000,239.463531,24060514
2019-08-20,254.000000,254.500000,252.500000,254.500000,241.839157,19960494
2019-08-21,254.500000,255.000000,253.000000,254.500000,241.839157,20269296
2019-08-22,257.000000,257.500000,254.000000,254.000000,241.364044,21900840
2019-08-23,253.500000,254.500000,253.000000,254.000000,241.364044,14166877
2019-08-26,249.000000,250.500000,248.500000,248.500000,236.137680,31678620
2019-08-27,250.500000,251.000000,248.500000,250.000000,237.563019,50234951
2019-08-28,250.500000,253.000000,250.500000,252.000000,239.463531,15132882
2019-08-29,253.000000,254.000000,251.000000,254.000000,241.364044,19587767
2019-08-30,256.500000,259.000000,256.000000,259.000000,246.115295,35184201
2019-09-02,258.000000,258.000000,256.000000,257.500000,244.689926,14614854
2019-09-03,256.500000,258.000000,253.000000,254.000000,241.364044,25762495
2019-09-04,254.000000,258.000000,254.000000,257.500000,244.689926,22540733
2019-09-05,263.000000,263.000000,260.500000,263.000000,249.916321,48791728
2019-09-06,265.000000,265.000000,263.000000,263.500000,250.391418,25408515
2019-09-10,263.500000,264.000000,260.500000,261.500000,248.490906,29308866
2019-09-11,264.000000,264.500000,260.500000,263.000000,249.916321,36196015
2019-09-12,265.000000,265.000000,261.500000,262.500000,249.441193,26017293
2019-09-16,262.000000,265.500000,261.500000,265.500000,252.291931,32573966
2019-09-17,266.500000,266.500000,264.500000,265.000000,251.816803,27600844
2019-09-18,267.000000,269.500000,266.500000,267.000000,253.717300,47684759
2019-09-19,268.000000,268.000000,264.000000,265.000000,253.717300,25233567
2019-09-20,266.000000,266.500000,264.000000,264.000000,252.759872,43868865
2019-09-23,264.000000,264.000000,263.000000,264.000000,252.759872,13093208
2019-09-24,263.500000,265.500000,262.000000,265.000000,253.717300,24244943
2019-09-25,262.500000,266.000000,262.000000,266.000000,254.674789,21003163
2019-09-26,269.000000,269.500000,266.500000,268.000000,256.589600,29940103
2019-09-27,271.500000,272.500000,271.000000,272.000000,260.419281,41235817
2019-10-01,273.000000,280.500000,273.000000,280.000000,268.078644,71743890
2019-10-02,280.000000,281.000000,279.000000,279.500000,267.599945,29295953
2019-10-03,274.000000,277.500000,274.000000,276.500000,264.727722,31890864
2019-10-04,279.500000,280.000000,275.000000,276.500000,264.727722,35169613
2019-10-07,279.000000,279.500000,277.500000,278.000000,266.163818,17510230
2019-10-08,283.500000,286.500000,282.500000,286.500000,274.301971,35278551
2019-10-09,283.500000,286.000000,282.000000,282.000000,269.993530,34777456
2019-10-14,291.500000,291.500000,288.500000,290.000000,277.652985,46683517
2019-10-15,293.500000,296.000000,292.000000,293.500000,281.003906,38018567
2019-10-16,298.000000,298.000000,293.500000,296.500000,283.876160,40297144
2019-10-17,295.000000,295.500000,292.000000,293.500000,281.003906,40271938
2019-10-18,293.000000,295.500000,291.000000,293.000000,280.525208,45102984
2019-10-21,291.000000,291.000000,288.500000,290.000000,277.652985,34634365
2019-10-22,292.500000,294.000000,291.500000,294.000000,281.482574,26005020
2019-10-23,293.500000,293.500000,290.500000,293.000000,280.525208,28675408
2019-10-24,294.500000,294.500000,291.000000,293.000000,280.525208,29040827
2019-10-25,294.500000,294.500000,292.500000,293.500000,281.003906,22682711
2019-10-28,295.000000,295.500000,294.000000,294.500000,281.961304,20076561
2019-10-29,297.000000,298.500000,296.500000,298.500000,285.790985,36682131
2019-10-30,298.500000,299.500000,296.500000,299.500000,286.748413,32370342
2019-10-31,300.000000,301.500000,298.500000,298.500000,285.790985,40944514
